Timestamp,Do you use the standard library’s lock types (Mutex or RwLock) in any of your projects?,Do you use locks from outside the standard library (such as from antidote or parking_lot) in any of your projects?,Which of these is closest to how you acquire locks? (Select all that apply),Have you ever thought carefully about lock poisoning in your projects?,"If so, what do you want to happen when a lock is poisoned? (Select all that apply)",Do you think you’ve benefited from the standard library’s lock types providing poisoning by default?,Do you use the standard library’s lock types or their guards in the public API of any of your projects?,"If so, what’s an example of how the standard library’s lock or guard types appear in the public API of any of your projects? (Please keep accidental information leakage in mind here and consider replacing names with placeholders)",How much friction do you think would be involved in migrating any of your projects from the standard library’s poisoning lock types to a non-poisoning lock crate like antidote or parking_lot? (That would mean replacing .lock().unwrap() with .lock()),Why do you use locks from outside the standard library? (Select all that apply),Do you implement poisoning some other way?,"If so, what do you want to happen when data is poisoned? (Select all that apply)",Would you use a poisoning implementation from the standard library if it was independent of Mutex or RwLock?
2020/12/12 12:25:32 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For async/await,No,,Yes
2020/12/12 12:26:06 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For async/await,No,I want my program to terminate,No
2020/12/12 12:28:31 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,For performance;For async/await,No,,
2020/12/12 12:29:27 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want to check and fix the data,Yes,No,,A manageable amount,For async/await,No,I want my program to terminate;I want to check and fix the data,Yes
2020/12/12 12:31:37 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want to access the data again,Yes,Yes,,Too much,For async/await,No,I never want to access the data again,Yes
2020/12/12 12:42:11 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,For async/await,No,I want my program to terminate,Yes
2020/12/12 12:42:51 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,For performance;For async/await,No,I want to check and fix the data,Yes
2020/12/12 12:48:53 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,No,Yes,error enum variant,A manageable amount,For performance;For no-std;For async/await,No,,Yes
2020/12/12 12:50:28 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,None,For async/await,No,,Yes
2020/12/12 12:54:54 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate;I want to access the data again,No
2020/12/12 1:18:36 PM GMT+11,Yes,Yes,,Yes,I never want my program to terminate,No,No,,None,For performance,No,,No
2020/12/12 1:18:47 PM GMT+11,No,Yes,.lock().unwrap(),No,I want to check and fix the data,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 1:27:14 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,,No,I want my program to terminate,No
2020/12/12 1:27:30 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,,,
2020/12/12 1:27:39 PM GMT+11,Yes,Yes,.lock()?,No,I want to access the data again;I want to check and fix the data,,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For no-std;For async/await,No,I want to access the data again;I want to check and fix the data,Yes
2020/12/12 1:28:55 PM GMT+11,Yes,Yes,.lock()?,Yes,I want my program to terminate,Yes,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For no-std;For async/await,No,I never want my program to terminate,Yes
2020/12/12 1:39:51 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,,,I want my program to terminate,No
2020/12/12 1:40:21 PM GMT+11,No,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,None,For no-std;For async/await,No,I want my program to terminate;I want to check and fix the data,Yes
2020/12/12 1:40:22 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,No,,
2020/12/12 1:45:53 PM GMT+11,Yes,Yes,.lock()?,No,,No,No,,None,For performance,No,,
2020/12/12 1:47:03 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,Yes,No,,None,,No,,Yes
2020/12/12 1:55:15 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,Yes,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 1:56:43 PM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to check and fix the data,Yes,No,,None,,,,
2020/12/12 1:56:44 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,No,,Yes
2020/12/12 1:56:58 PM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,For performance,No,I want my program to terminate,Yes
2020/12/12 2:00:32 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 2:01:23 PM GMT+11,No,Yes,.lock().unwrap(),Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,N/A,None,For performance;For no-std,No,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No
2020/12/12 2:03:55 PM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,Arc<Mutex<T>>,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate,No
2020/12/12 2:09:06 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want to log the data and then terminate,Yes,No,,A manageable amount,,,,
2020/12/12 2:09:56 PM GMT+11,Yes,No,.lock().unwrap(),No,I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 2:10:59 PM GMT+11,Yes,Yes,.lock()?,Yes,I want my program to terminate;I never want to access the data again,Yes,No,,None,For performance;For async/await,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 2:12:43 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,Yes,I never want my program to terminate;I want to access the data again,No,Yes,pub type Lines = Arc<Mutex<String>>;,A manageable amount,,,,
2020/12/12 2:17:58 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,No,No,,A manageable amount,,,,Yes
2020/12/12 2:39:32 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,,,None,For performance,No,I want my program to terminate,No
2020/12/12 2:41:01 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,Locking poisoned locks should panic,No,Yes,"enum MyGuard<'a, T> {
    Guard(MutexGuard<'a, T>),
    Ref(&'a mut T)
}",None,For performance,No,,No
2020/12/12 2:43:49 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,I never want my program to terminate;I want to access the data again,No
2020/12/12 2:46:52 PM GMT+11,Yes,Yes,.lock()?,No,,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 2:57:41 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For performance;For no-std,No,,Yes
2020/12/12 2:57:56 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want my program to terminate;I never want my program to terminate;I want to access the data again;I want to check and fix the data,Yes,No,,None,,,,
2020/12/12 3:03:06 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,For async/await,No,I want my program to terminate,No
2020/12/12 3:04:31 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want to access the data again,Yes,No,,None,For performance,No,,Yes
2020/12/12 3:12:13 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap(),No,I want to check and fix the data,Yes
2020/12/12 3:15:56 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For async/await,No,I want my program to terminate;I want to access the data again,No
2020/12/12 3:21:49 PM GMT+11,No,Yes,,,,,,,,To avoid having to write .lock.unwrap();For async/await;For compatibility with other dependencies (serenity),No,,Yes
2020/12/12 3:22:32 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,Yes,In the form of Arc<Mutex<XXX>> return type,A manageable amount,For performance,No,I want my program to terminate,Yes
2020/12/12 3:35:46 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want my program to terminate;I want to access the data again,No,No,,None,For async/await,No,I never want my program to terminate;I want to access the data again,No
2020/12/12 3:36:52 PM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For async/await,No,,No
2020/12/12 3:50:54 PM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 3:52:35 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want my program to terminate,,No,,A manageable amount,,,,
2020/12/12 3:53:31 PM GMT+11,Yes,No,.lock().unwrap(),No,I never thought about it. It was a school assignment to learn about basic synchronization patterns.,No,No,,None,,,,
2020/12/12 4:12:38 PM GMT+11,Yes,No,.lock().unwrap(),No,I want to check and fix the data,No,No,,A manageable amount,,,,
2020/12/12 4:12:42 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,Yes,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,I want my program to terminate,No
2020/12/12 4:13:21 PM GMT+11,No,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap(),No,I want my program to terminate,No
2020/12/12 4:20:39 PM GMT+11,No,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 4:21:48 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate,Yes,No,,A manageable amount,,,,
2020/12/12 4:23:07 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,,Yes,,A manageable amount,For async/await,,,
2020/12/12 4:23:40 PM GMT+11,Yes,Yes,.lock()?,Yes,"I want my program to terminate;I use panic=abort, so a lock can never get poisoned, because a panic always terminates the entire program. If I wanted to recover from something, I wouldn't use a panic.",No,No,,None,For performance;For async/await,No,I want my program to terminate,No
2020/12/12 4:26:35 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For no-std,Yes,I never want my program to terminate;I never want to access the data again,Yes
2020/12/12 4:32:26 PM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For performance;For no-std,No,,No
2020/12/12 4:47:49 PM GMT+11,Yes,Yes,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to check and fix the data,Yes,No,,A manageable amount,For performance;For async/await,No,I want to check and fix the data,Yes
2020/12/12 4:55:32 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 4:58:25 PM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,Yes,"MutexGuard<GlobalRNG>, that sort of thing",Too much,,,,
2020/12/12 5:07:29 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,Yes,Yes,,Too much,,No,,
2020/12/12 5:18:16 PM GMT+11,Yes,Yes,".lock().unwrap();just `.lock()` for non poisoning locks, or once I actually handled it",Yes,I want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I want my program to terminate;I want to access the data again;I want to check and fix the data,Yes
2020/12/12 5:19:05 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,,,,
2020/12/12 5:21:08 PM GMT+11,No,Yes,.lock()?,Yes,I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap(),No,I want to access the data again,
2020/12/12 5:28:08 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,,,,
2020/12/12 5:35:40 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want my program to terminate,,No,,A manageable amount,,,,
2020/12/12 5:39:10 PM GMT+11,Yes,No,.lock().unwrap(),No,I want to check and fix the data,No,No,,None,For performance;For async/await,No,,
2020/12/12 5:41:29 PM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,For performance;For async/await,No,,Yes
2020/12/12 5:54:07 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 5:54:23 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,No,,None,For async/await,No,I want my program to terminate,No
2020/12/12 5:55:07 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For async/await,No,I want my program to terminate;I want to access the data again,Yes
2020/12/12 5:55:11 PM GMT+11,Yes,No,.lock().unwrap(),No,I want to check and fix the data;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 6:01:59 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance;For async/await,No,,No
2020/12/12 6:06:35 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,,,,
2020/12/12 6:12:29 PM GMT+11,Yes,No,match mutex.lock() { /*...*/},Yes,I never want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For async/await,No,I never want my program to terminate;I want to check and fix the data,Yes
2020/12/12 6:18:40 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,"I want the current behavior (to be able to propagate the panic, or, in rarer circumstances, examine the data)",Yes,No,,A manageable amount,For performance,No,,Yes
2020/12/12 6:28:41 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate,Yes,No,,A manageable amount,For no-std;For async/await,Yes,I want my program to terminate,Yes
2020/12/12 6:54:31 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,A manageable amount,,No,I want my program to terminate,Yes
2020/12/12 6:56:08 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I want to check and fix the data,,No,,None,,No,,Yes
2020/12/12 7:11:30 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,Yes,,None,,No,I want to check and fix the data,Yes
2020/12/12 7:19:17 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/12 7:31:32 PM GMT+11,Yes,Yes,.lock()?,No,I want to check and fix the data,Yes,No,,A manageable amount,For performance;For async/await,No,I want to access the data again,Yes
2020/12/12 7:34:32 PM GMT+11,Yes,No,.lock()?,No,,No,No,,A manageable amount,,,,
2020/12/12 7:34:46 PM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 7:34:50 PM GMT+11,Yes,Yes,.lock()?,No,I want to check and fix the data,No,No,,A manageable amount,For performance;For async/await,No,I want to check and fix the data,No
2020/12/12 7:46:30 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,,Yes
2020/12/12 7:55:23 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate,No,No,,None,To avoid having to write .lock.unwrap();For async/await;The locks protect state that cannot be poisoned or cannot panic,No,I want to access the data again,Yes
2020/12/12 8:00:12 PM GMT+11,Yes,No,.lock()?,Yes,I never want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,,,Yes
2020/12/12 8:06:18 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,,,None,,,,
2020/12/12 8:09:29 PM GMT+11,Yes,Yes,.lock()?,No,I want my program to terminate;I never want to access the data again,No,No,,None,To avoid having to write .lock.unwrap(),No,,No
2020/12/12 8:12:41 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,For performance,No,I want my program to terminate,Yes
2020/12/12 8:14:32 PM GMT+11,Yes,Yes,.lock(),Yes,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/12 8:21:33 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/12 8:28:38 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate;I never want to access the data again;Program abort on panics in general,No,No,,None,To avoid having to write .lock.unwrap();For async/await,Yes,I want my program to terminate;I never want to access the data again;Aborting the program on panics,No
2020/12/12 8:28:44 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,Yes,,A manageable amount,For performance;For async/await,No,I want my program to terminate,Yes
2020/12/12 8:29:38 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,,,Yes
2020/12/12 8:29:50 PM GMT+11,Yes,Yes,.lock()?,No,"I want my program to terminate;I never want to access the data again;Locking a poisoned mutex should panic. A non-panicing version should be available as opt-in, or .lock_with_poison()",Yes,No,,A manageable amount,For no-std;For async/await,No,I never want to access the data again,No
2020/12/12 8:35:58 PM GMT+11,No,No,,,,,,,,,,,
2020/12/12 8:42:07 PM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,None,,,,
2020/12/12 8:53:12 PM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to check and fix the data,Yes,No,,A manageable amount,,,,Yes
2020/12/12 9:02:15 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want the panic to propagate automatically until the next isolation boundary,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 9:07:49 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,Yes
2020/12/12 9:11:13 PM GMT+11,Yes,No,.lock().unwrap(),No,I want to access the data again;I want to check and fix the data;I never want to access the data again,No,No,,A manageable amount,,,,
2020/12/12 9:13:34 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For performance,No,I want my program to terminate;I want to check and fix the data,No
2020/12/12 9:14:49 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I want to check and fix the data,No,No,,None,For performance;To reduce memory consumption (64b vs 1b in parking_lot) and usage of heap,No,,Yes
2020/12/12 9:16:05 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want to access the data again,Yes,No,,A manageable amount,,,,
2020/12/12 9:29:08 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,Yes,,A manageable amount,For no-std;For async/await,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/12 9:35:22 PM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want my program to terminate;I want to access the data again,Yes,No,,None,,No,,No
2020/12/12 10:09:46 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For performance,No,,No
2020/12/12 10:20:09 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I want my program to terminate,No,Yes,Arc<Mutex<Cache>>,A manageable amount,For async/await,No,I want my program to terminate,Yes
2020/12/12 10:28:58 PM GMT+11,Yes,Yes,.lock()?,Yes,I never want my program to terminate;I want to access the data again,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,I never want my program to terminate;I want to access the data again,No
2020/12/12 10:29:08 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I want to check and fix the data,No,,,,,,I want to check and fix the data,Yes
2020/12/12 10:37:31 PM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want to access the data again,No,No,,None,For performance;For async/await,No,,Yes
2020/12/12 10:49:11 PM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,,,
2020/12/12 10:55:03 PM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,Yes,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,For performance;For async/await,Yes,I want my program to terminate;I want to check and fix the data,Yes
2020/12/12 11:01:58 PM GMT+11,No,Yes,.lock()?,No,I want my program to terminate;I never want to access the data again,No,No,,None,For async/await,No,I want my program to terminate;I never want to access the data again,No
2020/12/12 11:06:55 PM GMT+11,Yes,Yes,.lock().unwrap(),No,I never want to access the data again;i want the to thread to die,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For no-std,No,,No
2020/12/12 11:08:20 PM GMT+11,Yes,No,.lock().unwrap(),Yes,I never want to access the data again,Yes,No,,A manageable amount,,,,
2020/12/12 11:20:22 PM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,I want my program to terminate;I never want to access the data again,Yes,No,,A manageable amount,,No,,Yes
2020/12/12 11:58:03 PM GMT+11,Yes,No,.lock().unwrap(),No,,,No,,A manageable amount,,No,,Yes
2020/12/13 12:14:05 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,This is not a question that can be answered for the general case; it depends on the situation.,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/13 12:15:19 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For no-std,No,,
2020/12/13 12:18:46 AM GMT+11,Yes,Yes,.lock().unwrap_or_else(PoisonGuard::into_inner),No,I never want my program to terminate;I want to access the data again,No,No,,None,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/13 12:19:59 AM GMT+11,Yes,No,.lock()?,No,I want my program to terminate,No,No,,None,,No,,
2020/12/13 12:33:33 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,,,
2020/12/13 12:33:59 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,"I never want my program to terminate;I want to access the data again;Lock poisoning is a nice idea conceptually, but it has never once been beneficial in practice so far",No,No,,A manageable amount,,,,
2020/12/13 12:36:08 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I want to have free choice of all mentioned points,Yes,No,,A manageable amount,For no-std;For async/await,No,,Yes
2020/12/13 12:43:52 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,To avoid having to write .lock.unwrap();For async/await,No,,No
2020/12/13 12:48:04 AM GMT+11,Yes,No,.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/13 12:50:52 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,
2020/12/13 12:58:27 AM GMT+11,Yes,Yes,.lock().unwrap(),No,"By default, nothing",No,No,,None,For performance;For async/await,Yes,"Unwind up to some boundary (thread, catch_unwind) and basically discard the buggy computation (which may e.g. return 500 server error to an http client) OR abort the process if no such boundary is defined",No
2020/12/13 1:03:45 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I never want my program to terminate,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance;For async/await,No,I never want my program to terminate,No
2020/12/13 1:09:12 AM GMT+11,Yes,Yes,.lock().unwrap();.lock()?,No,I never want my program to terminate;I want to access the data again,No,Yes,,A manageable amount,For async/await,No,,Yes
2020/12/13 1:12:55 AM GMT+11,Yes,Yes,.lock().unwrap(),Yes,I never want my program to terminate;I want to access the data again;I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For performance,No,,No
2020/12/13 1:24:04 AM GMT+11,Yes,No,.lock().unwrap(),No,,No,No,,None,,No,,No
2020/12/13 1:29:56 AM GMT+11,No,Yes,.lock()?,No,,No,No,,A manageable amount,For performance,No,,
2020/12/13 1:36:15 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,Yes,No,,None,To avoid having to write .lock.unwrap();For async/await,No,I want my program to terminate;I never want my program to terminate;I want to access the data again;I want to check and fix the data,Yes
2020/12/13 2:07:33 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,No,No,,A manageable amount,,Yes,I want my program to terminate;I never want to access the data again,Yes
2020/12/13 2:10:53 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,"I never want my program to terminate;I want to access the data again;Lock poisoning is a nice idea conceptually, but it has never once been beneficial in practice so far",No,No,,A manageable amount,,,,
2020/12/13 2:11:59 AM GMT+11,Yes,No,.lock().unwrap(),No,,Yes,No,,A manageable amount,,,,
2020/12/13 2:20:41 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,For performance;For no-std;For async/await,No,I want my program to terminate;I never want to access the data again,Yes
2020/12/13 2:27:25 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;I never want to access the data again,No,No,,A manageable amount,,No,,No
2020/12/13 2:33:29 AM GMT+11,Yes,Yes,.lock().unwrap();.await,No,I want my program to terminate;I want to access the data again,No,No,,A manageable amount,For async/await,No,I want my program to terminate,No
2020/12/13 2:40:58 AM GMT+11,Yes,No,.lock().unwrap(),Yes,I want my program to terminate;I never want to access the data again,Yes,Yes,"struct XyzState { handle: Arc<Mutex<Inner>>, … }, then fn do_something(&self)",A manageable amount,,,,
2020/12/13 2:46:39 AM GMT+11,Yes,No,.lock()?,No,I want my program to terminate;I want to check and fix the data,Yes,No,,A manageable amount,,,,
2020/12/13 2:59:46 AM GMT+11,Yes,Yes,.lock().unwrap(),No,,No,No,,None,For performance,No,,No
2020/12/13 3:00:20 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate;But it would be nice if the termination message included information about what triggered the panic,Yes,Yes,,A manageable amount,For async/await,No,I want my program to terminate,Yes
2020/12/13 3:04:48 AM GMT+11,No,Yes,.lock()?,Yes,I want to check and fix the data,No,No,,A manageable amount,To avoid having to write .lock.unwrap();For async/await,Yes,I want to check and fix the data,No
2020/12/13 3:06:23 AM GMT+11,Yes,No,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,For no-std,No,I want my program to terminate,No
2020/12/13 3:08:00 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,Yes,No,,A manageable amount,For performance;For async/await,No,I want my program to terminate;I want to check and fix the data;I never want to access the data again,Yes
2020/12/13 3:19:47 AM GMT+11,Yes,Yes,.lock().unwrap(),No,I want my program to terminate,No,No,,A manageable amount,For performance;For async/await,No,,
2020/12/13 3:37:27 AM GMT+11,Yes,No,.lock().unwrap();.lock().unwrap_or_else(PoisonGuard::into_inner),Yes,"I want my program to terminate;I want to access the data again;It depends, Result is great for this",Yes,No,,A manageable amount,For async/await,No,,No
2020/12/13 3:41:08 AM GMT+11,Yes,No,.lock().unwrap();.lock()?,No,,Yes,Yes,Arc<Mutex<CustomType>>,Too much,,No,,Yes
